text_asr,text_translated,intent,language,full_audio_path
hi I'm calling about depositing money into my account how do I transfer the money into my account,hi I'm calling about depositing money into my account how do I transfer the money into my account,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_37.wav
hi I wanted to know whether I can use my card Abroad,hi I wanted to know whether I can use my card Abroad,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA254417248a1cea8dc189d21e07cfbc69_1.wav
lock card immediately,lock card immediately,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_26.wav
what is the balance of my account,what is the balance of my account,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_22.wav
I would like to return a if you don't mind,I would like to return a if you don't mind,8,en-GB,MInDS-14\audio\en-GB~DIRECT_DEBIT/60268fa8c7abb7f832138cfd.wav
hi I'm just calling because I'm having a bit of an issue with the bank app it doesn't seem to be working properly I'm not really sure what to do next,hi I'm just calling because I'm having a bit of an issue with the bank app it doesn't seem to be working properly I'm not really sure what to do next,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_40.wav
I'm trying to make a large payment online and it says I'm guessing a text message,I'm trying to make a large payment online and it says I'm guessing a text message,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60268f95dc3604f481bcb881.wav
so I moved to a different house and I was wondering I wanted to,so I moved to a different house and I was wondering I wanted to,1,en-US,MInDS-14\audio\en-US~ADDRESS/602ba379bb1e6d0fbce9201a.wav
I've moved house and ID like to change my address please,I've moved house and ID like to change my address please,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_12.wav
hello is this the bank ID like to change my address please,hello is this the bank ID like to change my address please,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_24.wav
how much money can I take out,how much money can I take out,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602bac43963e11ccd901cda6.wav
hi I'm trying to use my apps for my banking on my phone and it's not working properly could somebody help,hi I'm trying to use my apps for my banking on my phone and it's not working properly could somebody help,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268c4bc7abb7f832138973.wav
hello I would like to make a loan for,hello I would like to make a loan for,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602baa17bb1e6d0fbce92153.wav
hello hello I want to use my cash card at the cash machine what's the maximum amount I can withdraw each day thanks,hello hello I want to use my cash card at the cash machine what's the maximum amount I can withdraw each day thanks,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268e8cdc3604f481bcb7e1.wav
I would like to make a down payment,I would like to make a down payment,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602badc4bb1e6d0fbce92211.wav
hi Alexa Dr John account with my partner please,hi Alexa Dr John account with my partner please,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_7.wav
you know mate I'm trying to find out how direct debits work and I want to set up some direct debits could you help me up please thank you,you know mate I'm trying to find out how direct debits work and I want to set up some direct debits could you help me up please thank you,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_32.wav
hi I'm trying to make a large payment online and isn't getting us I don't know what it is and I don't know what they're supposed to do can you help me please,hi I'm trying to make a large payment online and isn't getting us I don't know what it is and I don't know what they're supposed to do can you help me please,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602bafce05f96973d679451d.wav
how can I deposit money into my account,how can I deposit money into my account,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602bab8e05f96973d67944bc.wav
bank account balance please,bank account balance please,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_5.wav
hi there I would like to Macca's large payment I believe I will receive an SMS code for confirmation,hi there I would like to Macca's large payment I believe I will receive an SMS code for confirmation,10,en-AU,MInDS-14\audio\en-AU~HIGH_VALUE_PAYMENT/response_46.wav
return to direct deposit,return to direct deposit,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602badbd963e11ccd901cde8.wav
yeah I recognise the payment,yeah I recognise the payment,12,en-GB,MInDS-14\audio\en-GB~LATEST_TRANSACTIONS/60269024dc3604f481bcb8d8.wav
hey mate calling about my bill that stew I want to pay it can I do that over the phone thank you,hey mate calling about my bill that stew I want to pay it can I do that over the phone thank you,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_30.wav
I'm making a large payment on my account what do I do with it,I'm making a large payment on my account what do I do with it,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602baf075f67b421554f64ca.wav
I'd like to change my address,I'd like to change my address,1,en-US,MInDS-14\audio\en-US~ADDRESS/602b9af705f96973d67943c2.wav
I'd like to apply for a new business,I'd like to apply for a new business,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602bae0c5f67b421554f64a2.wav
I would like to review my recent transactions on me account,I would like to review my recent transactions on me account,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_13.wav
hi I'm just calling about a technical issue with your bank app I'm trying to get on at the moment and it says the app can't contact the bank server and retrieve my details,hi I'm just calling about a technical issue with your bank app I'm trying to get on at the moment and it says the app can't contact the bank server and retrieve my details,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_18.wav
hi there I need to change my address,hi there I need to change my address,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268db5dc3604f481bcb76b.wav
account balance,account balance,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268bdcc7abb7f832138935.wav
I am ringing to have a bills to pay,I am ringing to have a bills to pay,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60269066dc3604f481bcb8e4.wav
I was wondering if you could help me transfer some money into my account,I was wondering if you could help me transfer some money into my account,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_17.wav
do I need to do anything special to use my card abroad,do I need to do anything special to use my card abroad,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268d1bc7abb7f832138a01.wav
where can you let me know where it's a bit sad please thanks,where can you let me know where it's a bit sad please thanks,8,en-GB,MInDS-14\audio\en-GB~DIRECT_DEBIT/6026901fc7abb7f832138df7.wav
I'm having difficulties loading my account from the app,I'm having difficulties loading my account from the app,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_3.wav
hi I was wondering if it would be possible to have a look at my latest transactions just because there's a payment on there that I don't I don't recognise it so I was wondering whether would be able to have a quick look at it,hi I was wondering if it would be possible to have a look at my latest transactions just because there's a payment on there that I don't I don't recognise it so I was wondering whether would be able to have a quick look at it,12,en-GB,MInDS-14\audio\en-GB~LATEST_TRANSACTIONS/60269042cfa37e1cf217b140.wav
what is it up a joint account,what is it up a joint account,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_45.wav
hi I wonder what happened to the banking apps today because he doesn't seem so I'm walking I can't access to my account either,hi I wonder what happened to the banking apps today because he doesn't seem so I'm walking I can't access to my account either,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_30.wav
hi there I would like to change my address today,hi there I would like to change my address today,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268b2bc7abb7f8321388bb.wav
I wonder what my limit at the ATM is,I wonder what my limit at the ATM is,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/6026897acfa37e1cf217b06b.wav
I'm trying to pay a large amount and I'm supposed to get a confirmation code via SMS but I'm not too sure what to do with it,I'm trying to pay a large amount and I'm supposed to get a confirmation code via SMS but I'm not too sure what to do with it,10,en-AU,MInDS-14\audio\en-AU~HIGH_VALUE_PAYMENT/response_35.wav
how do I set up a joint account with my partner,how do I set up a joint account with my partner,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268ffcc7abb7f832138dbb.wav
could you please help me to return a direct debit,could you please help me to return a direct debit,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_33.wav
I'd like to pay my electricity bill,I'd like to pay my electricity bill,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602bac65bb1e6d0fbce921c8.wav
how much money can I withdraw in one go,how much money can I withdraw in one go,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268e7cc421a821df7c187d.wav
how do I set up a direct debit,how do I set up a direct debit,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602bac87bb1e6d0fbce921ca.wav
yes good morning just want to make an enquiry about taking a new bank loan please,yes good morning just want to make an enquiry about taking a new bank loan please,5,en-AU,MInDS-14\audio\en-AU~BUSINESS_LOAN/response_21.wav
app not working correctly,app not working correctly,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268a9edc3604f481bcb700.wav
how do I deposit money into my account,how do I deposit money into my account,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602bae6f05f96973d67944f7.wav
hi I'm making a rather large payment and it says I'm going to get a text message I don't know what the payment codes that I get are supposed to do and you help tell me what exactly is going on here thank you,hi I'm making a rather large payment and it says I'm going to get a text message I don't know what the payment codes that I get are supposed to do and you help tell me what exactly is going on here thank you,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602ba804963e11ccd901cd0b.wav
hello hi I'd like to deposit money into my account how would I be able to do this,hello hi I'd like to deposit money into my account how would I be able to do this,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268addc7abb7f832138889.wav
hi my name is Brayden and I was just using recently using the application on my phone and noticed that the App isn't loading at the moment I can't load or something about my account information so I was just wondering if the app is being serviced or if it's down at the moment or what the problem was,hi my name is Brayden and I was just using recently using the application on my phone and noticed that the App isn't loading at the moment I can't load or something about my account information so I was just wondering if the app is being serviced or if it's down at the moment or what the problem was,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_1.wav
hello this is a calling to ask about an existing loan,hello this is a calling to ask about an existing loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602b99c4bb1e6d0fbce91f44.wav
hey mate I'm a fairly large transaction that I need to make in cash and I was wondering what the daily withdrawal amount was for the for the ATM and if there's any way that I might be able to increase that if it's a bit too low for what I'm looking for thanks,hey mate I'm a fairly large transaction that I need to make in cash and I was wondering what the daily withdrawal amount was for the for the ATM and if there's any way that I might be able to increase that if it's a bit too low for what I'm looking for thanks,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_30.wav
hi there ID like to see my latest transaction,hi there ID like to see my latest transaction,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/CA42d92e3b69169b592ce92f8b0c311947_4.wav
you got a mate want to look at my most recent transaction to something but don't know what it's for can you identify it so that we can look into it find out what it's going on it doesn't seem right thank you,you got a mate want to look at my most recent transaction to something but don't know what it's for can you identify it so that we can look into it find out what it's going on it doesn't seem right thank you,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_29.wav
I was wondering if I was able to set up a joint account through the app,I was wondering if I was able to set up a joint account through the app,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602ba556963e11ccd901ccb0.wav
good morning I want if you explain to me I'm wishing to actually deposit money into an account yeah my account and,good morning I want if you explain to me I'm wishing to actually deposit money into an account yeah my account and,7,en-AU,MInDS-14\audio\en-AU~CASH_DEPOSIT/response_30.wav
I want to obtain a business loan,I want to obtain a business loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602ba512bb1e6d0fbce9205d.wav
how do I deposit money into my account,how do I deposit money into my account,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602b9d7cbb1e6d0fbce91fac.wav
I need to put a freeze on my card,I need to put a freeze on my card,9,en-US,MInDS-14\audio\en-US~FREEZE/602b9d1405f96973d67943e4.wav
I would like to inquire about a business loan,I would like to inquire about a business loan,5,en-US,MInDS-14\audio\en-US~BUSINESS_LOAN/602bae6805f96973d67944f6.wav
my car is no longer working or refuses to give me any money,my car is no longer working or refuses to give me any money,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268ee4c7abb7f832138b55.wav
I'm ringing if I don't recognise a recent transaction,I'm ringing if I don't recognise a recent transaction,12,en-GB,MInDS-14\audio\en-GB~LATEST_TRANSACTIONS/60268e7dc7abb7f832138b00.wav
hiya I need a change my address so would you be able to help me out and doing this thanks,hiya I need a change my address so would you be able to help me out and doing this thanks,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_11.wav
I want I know about a new line,I want I know about a new line,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268f53dc3604f481bcb85b.wav
I just like to know how much money is in my account,I just like to know how much money is in my account,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_36.wav
I want to make a large payment and I need a confirmation code,I want to make a large payment and I need a confirmation code,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602baf9a5f67b421554f64da.wav
I are you able to show me my direct debit transactions and accounts please I want to return it thank you,I are you able to show me my direct debit transactions and accounts please I want to return it thank you,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_39.wav
how much money can you withdrawal,how much money can you withdrawal,3,en-US,MInDS-14\audio\en-US~ATM_LIMIT/602baa1c963e11ccd901cd57.wav
hello I want to return a direct debit,hello I want to return a direct debit,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_21.wav
hello is this the bank that I'm currently using ID like to know my current limit at the ATM as to how much money I can withdraw and if there's any way I can increase their thank you,hello is this the bank that I'm currently using ID like to know my current limit at the ATM as to how much money I can withdraw and if there's any way I can increase their thank you,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_23.wav
hi I'm trying to make a large payment on mine and it says I'm going to get a text message,hi I'm trying to make a large payment on mine and it says I'm going to get a text message,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60268ff0dc3604f481bcb8c0.wav
I updated the app now crashes when I try and open it,I updated the app now crashes when I try and open it,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/response_46.wav
could you tell me about direct debit please,could you tell me about direct debit please,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602b9c39963e11ccd901cbfb.wav
I am calling you about some recent transactions on my bank account I just wanted to check the last few transactions because I wasn't sure if they gone through properly or not thanks,I am calling you about some recent transactions on my bank account I just wanted to check the last few transactions because I wasn't sure if they gone through properly or not thanks,12,en-GB,MInDS-14\audio\en-GB~LATEST_TRANSACTIONS/60268fc2c7abb7f832138d32.wav
hey there I'm just calling about my address I've recently moved and I'm just needing to change it hopefully you can just lend me a hand with that one thanks,hey there I'm just calling about my address I've recently moved and I'm just needing to change it hopefully you can just lend me a hand with that one thanks,1,en-AU,MInDS-14\audio\en-AU~ADDRESS/response_35.wav
hello my bank card is not working and it won't take payment,hello my bank card is not working and it won't take payment,6,en-GB,MInDS-14\audio\en-GB~CARD_ISSUES/60268eebc7abb7f832138b63.wav
how much can I draw out of an ATM in one day,how much can I draw out of an ATM in one day,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268e30dc3604f481bcb79d.wav
I want to set up a joint account how,I want to set up a joint account how,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/6026900ddc3604f481bcb8cd.wav
the mobile app keeps crashing on my phone,the mobile app keeps crashing on my phone,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602ba62d05f96973d679444a.wav
good morning I'm trying to use my ATM debit card and it is coming up I was wondering if you tell me why I have enough money in the account to cover the charges,good morning I'm trying to use my ATM debit card and it is coming up I was wondering if you tell me why I have enough money in the account to cover the charges,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602ba87bbb1e6d0fbce920f7.wav
help me make a deposit into my account please,help me make a deposit into my account please,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602bb016bb1e6d0fbce922cc.wav
I haven't told you on my case is called I would like to make the payment please,I haven't told you on my case is called I would like to make the payment please,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602bad55bb1e6d0fbce921f1.wav
hi just calling so I could get a return or a list of my direct debits to my account please,hi just calling so I could get a return or a list of my direct debits to my account please,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_11.wav
I just like an quiet at my account balance I'm trying to access it through it after just would like to know how much money I have in my account thanks very much,I just like an quiet at my account balance I'm trying to access it through it after just would like to know how much money I have in my account thanks very much,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_6.wav
how do I deposit money into my account,how do I deposit money into my account,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268f6ac7abb7f832138c57.wav
I am attempting to make a high-value purchase could you please tell me how I use the SMS code,I am attempting to make a high-value purchase could you please tell me how I use the SMS code,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602bab78963e11ccd901cd8c.wav
I am going abroad just wondering if my car's still work,I am going abroad just wondering if my car's still work,0,en-GB,MInDS-14\audio\en-GB~ABROAD/60268ae3c7abb7f83213888c.wav
freeze my card,freeze my card,9,en-GB,MInDS-14\audio\en-GB~FREEZE/6026896bc421a821df7c181b.wav
I'm calling about some recent transactions I want to know what these are my most recent transactions,I'm calling about some recent transactions I want to know what these are my most recent transactions,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/CA95b2cc484fb4c2f7946be485e9080dc2_2.wav
hello I just wanted to know how much money I currently have in my bank account,hello I just wanted to know how much money I currently have in my bank account,4,en-US,MInDS-14\audio\en-US~BALANCE/602b9874bb1e6d0fbce91f27.wav
slow on my card doesn't work I'm able to withdraw anything my account,slow on my card doesn't work I'm able to withdraw anything my account,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602bab0e963e11ccd901cd7f.wav
hey there I'm just calling about making a payment for Bill that I've got coming up I'm just wondering if you could lend me a hand with that please,hey there I'm just calling about making a payment for Bill that I've got coming up I'm just wondering if you could lend me a hand with that please,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_15.wav
I'd like to set up a joint account,I'd like to set up a joint account,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268ccfdc3604f481bcb741.wav
how do I set up a joint account,how do I set up a joint account,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268b73c7abb7f8321388ea.wav
hi I'm calling about the recent transactions on my account as a payment that I did not recognise and I was just wondering could you some more information about this payment,hi I'm calling about the recent transactions on my account as a payment that I did not recognise and I was just wondering could you some more information about this payment,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_41.wav
hi yes I have a business bank account with you and I'm just enquiring about whether I could take out a loan as well if you would mind helping me thank you,hi yes I have a business bank account with you and I'm just enquiring about whether I could take out a loan as well if you would mind helping me thank you,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268eaec7abb7f832138b1e.wav
hi I'm calling in interested in taking out a business loan could you please talk me through all of the logistics,hi I'm calling in interested in taking out a business loan could you please talk me through all of the logistics,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268ee2c7abb7f832138b51.wav
I'm trying to find out why my car keeps being declined,I'm trying to find out why my car keeps being declined,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602bae22bb1e6d0fbce9223a.wav
what's my current account balance,what's my current account balance,4,en-GB,MInDS-14\audio\en-GB~BALANCE/60268e74c7abb7f832138af9.wav
I am calling because I want to freeze my card on a block all future purchases please,I am calling because I want to freeze my card on a block all future purchases please,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_36.wav
good afternoon look I'm just actually it one of your ATMs right now and I need to pay cash and I'm just wondering what the maximum amount that I can withdraw right now it's like s and help with that at the fantastic thank you,good afternoon look I'm just actually it one of your ATMs right now and I need to pay cash and I'm just wondering what the maximum amount that I can withdraw right now it's like s and help with that at the fantastic thank you,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_6.wav
I would like to pay my credit card bill,I would like to pay my credit card bill,13,en-GB,MInDS-14\audio\en-GB~PAY_BILL/60269030dc3604f481bcb8da.wav
I'm calling up taking out a new business loan,I'm calling up taking out a new business loan,5,en-GB,MInDS-14\audio\en-GB~BUSINESS_LOAN/60268f45dc3604f481bcb850.wav
what is the maximum amount of money I can withdraw from the ATM,what is the maximum amount of money I can withdraw from the ATM,3,en-AU,MInDS-14\audio\en-AU~ATM_LIMIT/response_25.wav
hi so I'm using your app on my phone and the app isn't working properly so I was wondering if you guys could help me,hi so I'm using your app on my phone and the app isn't working properly so I was wondering if you guys could help me,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602ba528963e11ccd901cca8.wav
hello how would I go about setting up a joint account with my partner,hello how would I go about setting up a joint account with my partner,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602bb04b05f96973d679451e.wav
can I freeze my card,can I freeze my card,9,en-US,MInDS-14\audio\en-US~FREEZE/602ba47f05f96973d679442e.wav
I need to pay bill ID like to do it on my credit card can you tell me how,I need to pay bill ID like to do it on my credit card can you tell me how,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_13.wav
deposit money,deposit money,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268f73c7abb7f832138c6d.wav
so I was looking at my recent transactions and there's is payment which I don't know where it came from but it's for $900 and in the last day I don't remember all four rising to pay that to anyone what do I do,so I was looking at my recent transactions and there's is payment which I don't know where it came from but it's for $900 and in the last day I don't remember all four rising to pay that to anyone what do I do,12,en-AU,MInDS-14\audio\en-AU~LATEST_TRANSACTIONS/response_35.wav
I want to know how much money I can take out of the ATM how much money can I withdraw how much money can I withdraw in a day can I increase the amount of money I can withdraw can I increase my withdrawal in the cash machine,I want to know how much money I can take out of the ATM how much money can I withdraw how much money can I withdraw in a day can I increase the amount of money I can withdraw can I increase my withdrawal in the cash machine,3,en-GB,MInDS-14\audio\en-GB~ATM_LIMIT/60268dd9c7abb7f832138a96.wav
cannot access the app,cannot access the app,2,en-GB,MInDS-14\audio\en-GB~APP_ERROR/60268e57c7abb7f832138aed.wav
high demands an and I'm going to be travelling to Vietnam in about 2 months time I just received my new card and I just wanted to know where I can use overseas and what the fees will be whether I'll be charged anything thank you,high demands an and I'm going to be travelling to Vietnam in about 2 months time I just received my new card and I just wanted to know where I can use overseas and what the fees will be whether I'll be charged anything thank you,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CAbb9806ce9a496896a032b231a0179596_3.wav
I would like to set up a joint account how would I go about doing that,I would like to set up a joint account how would I go about doing that,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602baee7bb1e6d0fbce9228e.wav
I have a question about what happens if I got a check a paper check for Christmas and I need to know what to do with it,I have a question about what happens if I got a check a paper check for Christmas and I need to know what to do with it,0,en-AU,MInDS-14\audio\en-AU~ABROAD/CA0e4a819dd6e034af8f31d8d8544ab4b3_1.wav
my card is not working can you help me,my card is not working can you help me,6,en-AU,MInDS-14\audio\en-AU~CARD_ISSUES/response_17.wav
hi how can I make a cash deposit please,hi how can I make a cash deposit please,7,en-GB,MInDS-14\audio\en-GB~CASH_DEPOSIT/60268fa1c7abb7f832138ceb.wav
the app is not working,the app is not working,2,en-US,MInDS-14\audio\en-US~APP_ERROR/602ba9ddbb1e6d0fbce9213e.wav
what were my last five direct debit,what were my last five direct debit,8,en-US,MInDS-14\audio\en-US~DIRECT_DEBIT/602bad38bb1e6d0fbce921e8.wav
change address,change address,1,en-GB,MInDS-14\audio\en-GB~ADDRESS/60268a54dc3604f481bcb6f0.wav
freeze my card please,freeze my card please,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268f8ac7abb7f832138ca7.wav
I'm trying to make the payment right now a very high,I'm trying to make the payment right now a very high,10,en-US,MInDS-14\audio\en-US~HIGH_VALUE_PAYMENT/602baac5bb1e6d0fbce92170.wav
hi I would like to make a new payment for a bill,hi I would like to make a new payment for a bill,13,en-AU,MInDS-14\audio\en-AU~PAY_BILL/response_14.wav
hi I was trying to set up a joint account is there a somewhere on the app that I can do that or do I have to do that through you,hi I was trying to set up a joint account is there a somewhere on the app that I can do that or do I have to do that through you,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602ba81ebb1e6d0fbce920e6.wav
how can I make a deposit,how can I make a deposit,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602ba6fb5f67b421554f6420.wav
can you freeze my cards for me,can you freeze my cards for me,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_18.wav
I'd like to have set off a joint account,I'd like to have set off a joint account,11,en-GB,MInDS-14\audio\en-GB~JOINT_ACCOUNT/60268f18c7abb7f832138bb0.wav
I would like to deposit money what's the best way to accomplish that,I would like to deposit money what's the best way to accomplish that,7,en-US,MInDS-14\audio\en-US~CASH_DEPOSIT/602ba7b105f96973d6794475.wav
hi are you able to show me my current account balance thank you very much,hi are you able to show me my current account balance thank you very much,4,en-AU,MInDS-14\audio\en-AU~BALANCE/response_44.wav
good morning I am going to be taking a trip to Germany shortly and wanted to know whether my bank card will work with,good morning I am going to be taking a trip to Germany shortly and wanted to know whether my bank card will work with,0,en-US,MInDS-14\audio\en-US~ABROAD/602ba5aa05f96973d6794442.wav
how can my wife and I set up a joint account,how can my wife and I set up a joint account,11,en-US,MInDS-14\audio\en-US~JOINT_ACCOUNT/602ba63d05f96973d679444d.wav
I wanted to make a payment on my bill,I wanted to make a payment on my bill,13,en-US,MInDS-14\audio\en-US~PAY_BILL/602b9f4abb1e6d0fbce91fc4.wav
hi there I just wanted to know if I'm traveling out of the country with my car,hi there I just wanted to know if I'm traveling out of the country with my car,0,en-US,MInDS-14\audio\en-US~ABROAD/602ba089bb1e6d0fbce91fd9.wav
stop all transactions on my card,stop all transactions on my card,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_2.wav
can you please tell me my latest transactions,can you please tell me my latest transactions,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602baf2a5f67b421554f64d0.wav
Isaiah if you could guide me through Direct debits,Isaiah if you could guide me through Direct debits,8,en-AU,MInDS-14\audio\en-AU~DIRECT_DEBIT/response_15.wav
I would like to set up a joint account with my wife,I would like to set up a joint account with my wife,11,en-AU,MInDS-14\audio\en-AU~JOINT_ACCOUNT/response_24.wav
I have noticed suspicious activity on my credit card how can I freeze my card so they can't take any more money,I have noticed suspicious activity on my credit card how can I freeze my card so they can't take any more money,9,en-AU,MInDS-14\audio\en-AU~FREEZE/response_41.wav
see I'm calling to see why my debit card was climbing I tried to pay for groceries and pick up the climbing at Red like four times and up having to use a different debit card is there a problem with my balance at the app isn't showing or is it like is do I need a new card is it what's the reason my payment declined,see I'm calling to see why my debit card was climbing I tried to pay for groceries and pick up the climbing at Red like four times and up having to use a different debit card is there a problem with my balance at the app isn't showing or is it like is do I need a new card is it what's the reason my payment declined,6,en-US,MInDS-14\audio\en-US~CARD_ISSUES/602ba333963e11ccd901cc6c.wav
freeze my debit card I want to stop at all transactions coming in please lock my car,freeze my debit card I want to stop at all transactions coming in please lock my car,9,en-US,MInDS-14\audio\en-US~FREEZE/602baed5bb1e6d0fbce92287.wav
I want to review my transaction,I want to review my transaction,12,en-US,MInDS-14\audio\en-US~LATEST_TRANSACTIONS/602baed2bb1e6d0fbce92286.wav
hi please please stop all the transactions on my card and completely freeze it thank you,hi please please stop all the transactions on my card and completely freeze it thank you,9,en-GB,MInDS-14\audio\en-GB~FREEZE/60268dd2c7abb7f832138a8e.wav
I'm trying to make a large payment online and I don't know what to do with the message that I've been sent to my phone,I'm trying to make a large payment online and I don't know what to do with the message that I've been sent to my phone,10,en-GB,MInDS-14\audio\en-GB~HIGH_VALUE_PAYMENT/60268ff1c7abb7f832138da5.wav
so I'm trying to use an app and for the backup and the app is not working properly it's not working on my phone and then I don't know why,so I'm trying to use an app and for the backup and the app is not working properly it's not working on my phone and then I don't know why,2,en-AU,MInDS-14\audio\en-AU~APP_ERROR/CAf10393a2b5dab4feca585e7e0faf92a0_2.wav
